# ####################################
# Created by Astm For CSV 
# https://github.com/AstmDesign/
# ####################################

53,كوبا,Cuba,t,2018-09-24 08:07:45.215079,2018-09-24 08:07:45.215079
54,قبرص,Cyprus,t,2018-09-24 08:07:45.217417,2018-09-24 08:07:45.217417
55,جمهورية التشيك,Czech Republic,t,2018-09-24 08:07:45.219256,2018-09-24 08:07:45.219256
58,دومينيكا,Dominica,t,2018-09-24 08:07:45.223971,2018-09-24 08:07:45.223971
59,جمهورية الدومينيك,Dominican Republic,t,2018-09-24 08:07:45.225758,2018-09-24 08:07:45.225758
62,مصر,Egypt,t,2018-09-24 08:07:45.233568,2018-09-24 08:07:45.233568
64,غينيا الاستوائية,Equatorial Guinea,t,2018-09-24 08:07:45.237349,2018-09-24 08:07:45.237349
68,جزر فوكلاند,Falkland Islands (Malvinas),t,2018-09-24 08:07:45.244673,2018-09-24 08:07:45.244673
69,جزر فارو,Faroe Islands,t,2018-09-24 08:07:45.247034,2018-09-24 08:07:45.247034
70,فيجي,Fiji,t,2018-09-24 08:07:45.251733,2018-09-24 08:07:45.251733
72,فرنسا,France,t,2018-09-24 08:07:45.255356,2018-09-24 08:07:45.255356
74,غويانا,French Guiana,t,2018-09-24 08:07:45.258534,2018-09-24 08:07:45.258534
78,غامبيا,Gambia,t,2018-09-24 08:07:45.268999,2018-09-24 08:07:45.268999
79,جورجيا,Georgia,t,2018-09-24 08:07:45.270809,2018-09-24 08:07:45.270809
81,غانا,Ghana,t,2018-09-24 08:07:45.274171,2018-09-24 08:07:45.274171
82,جبل طارق,Gibraltar,t,2018-09-24 08:07:45.276024,2018-09-24 08:07:45.276024
83,غيرنسي,Guernsey,t,2018-09-24 08:07:45.278554,2018-09-24 08:07:45.278554
85,جرينلاند,Greenland,t,2018-09-24 08:07:45.2851,2018-09-24 08:07:45.2851
87,جوادلوب,Guadeloupe,t,2018-09-24 08:07:45.288498,2018-09-24 08:07:45.288498
88,جوام,Guam,t,2018-09-24 08:07:45.290185,2018-09-24 08:07:45.290185
89,جواتيمالا,Guatemala,t,2018-09-24 08:07:45.291843,2018-09-24 08:07:45.291843
90,غينيا,Guinea,t,2018-09-24 08:07:45.29382,2018-09-24 08:07:45.29382
92,غيانا,Guyana,t,2018-09-24 08:07:45.300168,2018-09-24 08:07:45.300168
93,هايتي,Haiti,t,2018-09-24 08:07:45.301989,2018-09-24 08:07:45.301989
95,هندوراس,Honduras,t,2018-09-24 08:07:45.305868,2018-09-24 08:07:45.305868
96,هونج كونج الصينية,Hong Kong,t,2018-09-24 08:07:45.307567,2018-09-24 08:07:45.307567
100,جزيرة مان,Isle of Man,t,2018-09-24 08:07:45.3179,2018-09-24 08:07:45.3179
107,ساحل العاج,Ivory Coast,t,2018-09-24 08:07:45.334026,2018-09-24 08:07:45.334026
108,جيرسي,Jersey,t,2018-09-24 08:07:45.336176,2018-09-24 08:07:45.336176
109,جامايكا,Jamaica,t,2018-09-24 08:07:45.337928,2018-09-24 08:07:45.337928
113,كينيا,Kenya,t,2018-09-24 08:07:45.34516,2018-09-24 08:07:45.34516
114,كيريباتي,Kiribati,t,2018-09-24 08:07:45.349529,2018-09-24 08:07:45.349529
115,كوريا الشمالية,"Korea, Democratic Peoples Republic of",t,2018-09-24 08:07:45.351291,2018-09-24 08:07:45.351291
117,كوسوفو,Kosovo,t,2018-09-24 08:07:45.354842,2018-09-24 08:07:45.354842
119,قرغيزستان,Kyrgyzstan,t,2018-09-24 08:07:45.358346,2018-09-24 08:07:45.358346
120,لاوس,Lao Peoples Democratic Republic,t,2018-09-24 08:07:45.360041,2018-09-24 08:07:45.360041
121,لاتفيا,Latvia,t,2018-09-24 08:07:45.361836,2018-09-24 08:07:45.361836
122,لبنان,Lebanon,t,2018-09-24 08:07:45.363458,2018-09-24 08:07:45.363458
123,ليسوتو,Lesotho,t,2018-09-24 08:07:45.365172,2018-09-24 08:07:45.365172
202,أسبانيا,Spain,t,2018-09-24 08:07:45.503791,2018-09-24 08:22:26.693122
233,أوزبكستان,Uzbekistan,t,2018-09-24 08:07:45.557273,2018-09-24 08:22:26.721725
226,أوغندا,Uganda,t,2018-09-24 08:07:45.545822,2018-09-24 08:22:26.724399
227,أوكرانيا,Ukraine,t,2018-09-24 08:07:45.547627,2018-09-24 08:22:26.72697
177,البرتغال,Portugal,t,2018-09-24 08:07:45.45777,2018-09-24 08:22:26.765438
147,الجبل الأسود,Montenegro,t,2018-09-24 08:07:45.406661,2018-09-24 08:22:26.773477
191,السنغال,Senegal,t,2018-09-24 08:07:45.485721,2018-09-24 08:22:26.787059
206,السودان,Sudan,t,2018-09-24 08:07:45.510602,2018-09-24 08:22:26.78974
241,الصحراء الغربية,Western Sahara,t,2018-09-24 08:07:45.570146,2018-09-24 08:22:26.795569
199,الصومال,Somalia,t,2018-09-24 08:07:45.499202,2018-09-24 08:22:26.798463
174,الفيلبين,Philippines,t,2018-09-24 08:07:45.452763,2018-09-24 08:22:26.809425
149,المغرب,Morocco,t,2018-09-24 08:07:45.410218,2018-09-24 08:22:26.828487
142,المكسيك,Mexico,t,2018-09-24 08:07:45.397822,2018-09-24 08:22:26.834039
229,المملكة المتحدة,United Kingdom,t,2018-09-24 08:07:45.550994,2018-09-24 08:22:26.839346
165,النرويج,Norway,t,2018-09-24 08:07:45.437487,2018-09-24 08:22:26.841846
160,النيجر,Niger,t,2018-09-24 08:07:45.428962,2018-09-24 08:22:26.847083
242,اليمن,Yemen,t,2018-09-24 08:07:45.571656,2018-09-24 08:22:26.85863
171,بابوا غينيا الجديدة,Papua New Guinea,t,2018-09-24 08:07:45.447819,2018-09-24 08:22:26.872375
172,باراجواي,Paraguay,t,2018-09-24 08:07:45.449381,2018-09-24 08:22:26.875075
